event_name,aws_service,confidence,what_it_does,attacker_rationale
GetCallerIdentity,AWS STS (Security Token Service),high,Returns the account ID, user ID and ARN of the identity making the call,"Confirms the stolen key is live and reveals which AWS account/principal it belongs to - the first move after obtaining a leaked key"
ListAttachedUserPolicies,AWS IAM,high,Lists the managed policies attached to a given IAM user,"Enumerates what the compromised user is allowed to do, to gauge privilege before acting"
GetUser,AWS IAM,high,Returns details about an IAM user (path, ARN, creation date),"Recon on the identity tied to the key; confirms the username and account context"
CreateUser,AWS IAM,high,Creates a new IAM user,"Persistence - creates an attacker-controlled user so access survives revocation of the leaked key"
ListRoles,AWS IAM,high,Lists the IAM roles in the account,"Enumerates roles to find assumable/privilege-escalation paths"
AttachUserPolicy,AWS IAM,high,Attaches a managed policy to an IAM user,"In this dataset it is AWS's own automated quarantine attaching a restrictive deny policy to the leaked key (defense), but attacker-issued it would be privilege escalation"
DescribeSeverityLevels,AWS Support,high,Lists the available support-case severity levels,"Probes whether the account has a paid Support plan (Business/Enterprise) - signals account value and enables social-engineering/support abuse"
GetSendQuota,Amazon SES (Simple Email Service),high,Returns the account's email sending limits and current usage,"Abuse prep - checks SES sending capacity as a precursor to sending spam/phishing from the victim account"
GetServiceQuota,AWS Service Quotas,high,Returns the value of a specific service quota,"Recon on resource limits (e.g. how many instances/models can be spun up) to plan resource abuse"
InvokeModel,Amazon Bedrock,high,Runs inference against a foundation model,"Resource abuse (LLMjacking) - runs paid AI models on the victim's bill"
SNS,Amazon SNS (Simple Notification Service),medium,"Publish/subscribe messaging service; here it appears as an AWS-side safetynet event, not a normal attacker API name","In this dataset it is an AWS-side fraud/leak-detection signal (defense), so no attacker rationale"
GetRegions,"AWS Account Management (account:GetRegions) - PROBABLE; historically also an SES v1 action (GetRegions in older Bedrock/SES tooling is not standard)",medium,"Most likely account:GetRegions, which lists the enabled/available AWS regions for the account. Candidate alternates exist but Account Management is the current documented owner of GetRegions","Enumerates which regions are enabled/reachable to find where to launch resource abuse or evade region-scoped guardrails"
GetAccount,"AWS IAM (iam:GetAccount* family) or AWS Account Management (account) - AMBIGUOUS; no single service exposes a plain 'GetAccount'",low,"No AWS service exposes an action named exactly 'GetAccount'. Closest real actions: iam:GetAccountSummary / iam:GetAccountAuthorizationDetails (IAM account-wide recon) or account:GetAccountInformation (Account Management). Likely a truncated/normalized label for one of these","Account-wide reconnaissance - summarizing users/roles/policies or account contact info to assess the target"
AWSFRAUDGITHUBKEYCLUTCHPROD,AWS-internal fraud/leak detection (not a public API),high,"Internal AWS fraud/abuse-detection label indicating the key was found leaked (e.g. on GitHub); surfaced as a safetynet event, not a customer-callable API","Not attacker-issued - it is AWS's own detection flagging the exposed key"
